time,value
2026-02-14T16:52:27.628917795Z,-235.75634765625
2026-02-14T16:52:31.189409238Z,-152.752685546875
2026-02-14T16:52:36.2018022Z,-230.92120361328125
2026-02-14T16:52:41.130382618Z,-121.3240966796875
2026-02-14T16:52:46.197161566Z,-168.86990356445312
2026-02-14T16:52:51.170580129Z,-127.77105712890625
2026-02-14T16:52:56.19257726Z,-172.8992919921875
2026-02-14T16:53:01.12059535Z,-135.02377319335938
2026-02-14T16:53:06.213872491Z,-204.327880859375
2026-02-14T16:53:11.107474845Z,-139.05303955078125
2026-02-14T16:53:16.190012449Z,-232.53289794921875
2026-02-14T16:53:27.089557526Z,-207.55130004882812
2026-02-14T16:53:31.931595637Z,-140.66485595703125
2026-02-14T16:53:37.040973474Z,-263.1556396484375
2026-02-14T16:53:41.934585736Z,-195.46334838867188
2026-02-14T16:53:47.028381251Z,-190.62820434570312
2026-02-14T16:53:51.984287535Z,-159.19964599609375
2026-02-14T16:53:57.021376633Z,-219.63909912109375
2026-02-14T16:54:01.931098419Z,-134.2178955078125
2026-02-14T16:54:07.020037784Z,-200.2984619140625
2026-02-14T16:54:11.929816868Z,-148.72341918945312
2026-02-14T16:54:17.073937829Z,-187.4046630859375
2026-02-14T16:54:21.974912004Z,-172.09332275390625
2026-02-14T16:54:27.113110455Z,-203.52188110351562
2026-02-14T16:54:44.00794585Z,-213.1922607421875
2026-02-14T16:54:53.941712489Z,-217.2215576171875
2026-02-14T16:55:03.91185678Z,-230.92120361328125
2026-02-14T16:55:13.911989152Z,-179.34613037109375
2026-02-14T16:55:23.90767411Z,-212.38641357421875
2026-02-14T16:55:33.978912789Z,-127.77105712890625
2026-02-14T16:55:40.842622648Z,-235.75634765625
2026-02-14T16:55:45.75817005Z,-280.07867431640625
2026-02-14T16:55:50.864350965Z,-194.65750122070312
2026-02-14T16:55:55.676144294Z,-276.85528564453125
2026-02-14T16:56:00.815879032Z,-147.1116943359375
2026-02-14T16:56:05.656393963Z,-199.49261474609375
2026-02-14T16:56:10.842980219Z,-136.63546752929688
2026-02-14T16:56:15.761862557Z,-227.69775390625
2026-02-14T16:56:20.88044529Z,-131.80035400390625
2026-02-14T16:56:25.653081854Z,-212.38641357421875
2026-02-14T16:56:30.813951976Z,-168.86990356445312
2026-02-14T16:56:35.649497606Z,-224.474365234375
2026-02-14T16:56:47.810876961Z,-218.833251953125
2026-02-14T16:56:52.601837464Z,-222.0567626953125
2026-02-14T16:56:57.74508625Z,-251.87353515625
2026-02-14T16:57:02.557409274Z,-140.66485595703125
2026-02-14T16:57:07.694277819Z,-172.8992919921875
2026-02-14T16:57:12.554146804Z,-170.48159790039062
2026-02-14T16:57:17.636206552Z,-163.22891235351562
2026-02-14T16:57:22.596680032Z,-149.52926635742188
2026-02-14T16:57:27.639721714Z,-218.02740478515625
2026-02-14T16:57:32.547956592Z,-184.98712158203125
2026-02-14T16:57:37.691464355Z,-215.60983276367188
2026-02-14T16:57:42.54368468Z,-164.84063720703125
2026-02-14T16:57:47.716741144Z,-214.80398559570312
2026-02-14T16:58:04.534250156Z,-247.84423828125
2026-02-14T16:58:14.532078674Z,-216.41567993164062
2026-02-14T16:58:24.570217447Z,-193.85162353515625
2026-02-14T16:58:34.616863101Z,-216.41567993164062
2026-02-14T16:58:44.549742034Z,-225.28021240234375
2026-02-14T16:58:54.570744241Z,-151.14096069335938
2026-02-14T16:59:06.28529689Z,-257.5146484375
2026-02-14T16:59:11.48057042Z,-147.1116943359375
2026-02-14T16:59:16.282065307Z,-202.71603393554688
2026-02-14T16:59:21.516756152Z,-198.686767578125
2026-02-14T16:59:26.332377222Z,-209.16299438476562
2026-02-14T16:59:31.424630137Z,-192.23992919921875
2026-02-14T16:59:36.268937078Z,-214.80398559570312
2026-02-14T16:59:41.419955833Z,-131.80035400390625
2026-02-14T16:59:46.273112598Z,-201.91018676757812
2026-02-14T16:59:51.411771176Z,-135.82962036132812
2026-02-14T16:59:56.346866517Z,-228.50360107421875
2026-02-14T17:00:08.416753568Z,-204.327880859375
2026-02-14T17:00:13.176963637Z,-174.510986328125
2026-02-14T17:00:18.262792666Z,-280.884521484375
2026-02-14T17:00:23.175701918Z,-187.4046630859375
2026-02-14T17:00:28.308819671Z,-206.74542236328125
2026-02-14T17:00:33.166447169Z,-149.52926635742188
2026-02-14T17:00:38.316438413Z,-245.42669677734375
2026-02-14T17:00:43.23446383Z,-196.26919555664062
2026-02-14T17:00:48.253696497Z,-240.591552734375
2026-02-14T17:00:53.269142031Z,-172.09332275390625
2026-02-14T17:00:58.388708285Z,-192.23992919921875
2026-02-14T17:01:03.158470776Z,-185.79296875
2026-02-14T17:01:25.145168308Z,-210.77471923828125
2026-02-14T17:01:35.090606796Z,-213.1922607421875
2026-02-14T17:01:45.197342578Z,-210.77471923828125
2026-02-14T17:01:55.219476763Z,-212.38641357421875
