time,value
2026-02-14T16:52:27.630492512Z,0
2026-02-14T17:49:56.940867413Z,0
2026-02-14T18:05:28.852257054Z,0
2026-02-14T18:09:34.173052102Z,0
2026-02-14T18:14:51.894101464Z,0
2026-02-14T18:30:58.064650243Z,0
2026-02-14T19:03:42.550108871Z,1
2026-02-14T19:18:51.347814284Z,0
2026-02-14T20:13:34.887821151Z,0
2026-02-15T03:34:23.816902117Z,1
2026-02-15T11:11:46.913155033Z,2
2026-02-17T00:40:50.831461394Z,0
2026-02-17T00:41:40.571576614Z,1
2026-02-17T00:42:52.422172661Z,2
2026-02-17T00:44:04.221185313Z,3
2026-02-17T00:45:15.459868136Z,4
2026-02-17T00:46:26.658257242Z,5
2026-02-17T00:47:37.902941768Z,6
2026-02-17T00:48:49.131592782Z,7
2026-02-17T00:50:00.99074558Z,8
2026-02-17T00:51:13.202734419Z,9
2026-02-17T00:52:25.500814867Z,10
2026-02-17T00:53:37.376785129Z,11
2026-02-17T00:54:49.141430296Z,12
2026-02-17T00:56:01.201724473Z,13
2026-02-17T00:57:13.611034433Z,14
2026-02-17T00:58:25.561286498Z,15
2026-02-17T00:59:37.163216182Z,16
2026-02-17T01:00:48.768238458Z,17
2026-02-17T01:02:00.749317798Z,18
2026-02-17T01:03:12.945106721Z,19
2026-02-17T01:04:25.31289323Z,20
2026-02-17T01:05:37.263360369Z,21
2026-02-17T01:06:48.872379935Z,22
2026-02-17T01:08:00.6699327Z,23
2026-02-17T01:09:12.683037911Z,24
2026-02-17T01:10:24.726425342Z,25
2026-02-17T01:11:36.252357325Z,26
2026-02-17T01:12:47.441996909Z,27
2026-02-17T01:13:58.38963566Z,28
2026-02-17T01:15:09.763606727Z,29
2026-02-17T01:16:21.419653099Z,30
2026-02-17T01:17:33.232968671Z,31
2026-02-17T01:18:44.496402016Z,32
2026-02-17T01:19:55.562974834Z,33
2026-02-17T01:21:06.312757666Z,34
2026-02-17T01:22:16.954987509Z,35
2026-02-17T01:23:27.714820777Z,36
2026-02-17T01:24:38.310102836Z,37
2026-02-17T01:25:49.569922592Z,38
2026-02-17T01:27:01.035926165Z,39
2026-02-17T01:28:12.627879128Z,40
2026-02-17T01:29:24.255123823Z,41
2026-02-17T01:30:35.450136836Z,42
2026-02-17T01:31:46.121094939Z,43
2026-02-17T01:32:56.559281102Z,44
2026-02-17T01:34:06.990990278Z,45
2026-02-17T01:35:17.191210735Z,46
2026-02-17T01:36:27.095258426Z,47
2026-02-17T01:37:37.06313456Z,48
2026-02-17T01:38:46.890567555Z,49
2026-02-17T01:39:56.735705826Z,50
2026-02-17T01:41:06.511799077Z,51
2026-02-17T01:42:16.275903204Z,52
2026-02-17T01:43:25.983136625Z,53
2026-02-17T01:44:35.859287681Z,54
2026-02-17T01:45:45.620915713Z,55
2026-02-17T01:46:55.317436295Z,56
2026-02-17T01:48:04.962809135Z,57
2026-02-17T01:49:14.564460916Z,58
2026-02-17T01:50:24.155749744Z,59
2026-02-17T01:51:33.557708913Z,60
2026-02-17T01:52:43.011849983Z,61
2026-02-17T01:53:52.352269443Z,62
2026-02-17T01:55:02.077978254Z,63
2026-02-17T01:56:12.268088378Z,64
2026-02-17T01:57:22.405622512Z,65
2026-02-17T01:58:32.294446698Z,66
2026-02-17T01:59:42.114677041Z,67
2026-02-17T02:00:52.091017563Z,68
2026-02-17T02:02:02.225486275Z,69
2026-02-17T02:03:12.054673277Z,70
2026-02-17T02:04:22.058567244Z,71
2026-02-17T02:05:32.052887254Z,72
2026-02-17T02:06:42.034784958Z,73
2026-02-17T02:07:51.898500354Z,74
2026-02-17T02:09:01.958198884Z,75
2026-02-17T02:10:11.916665048Z,76
2026-02-17T02:11:21.756322992Z,77
2026-02-17T02:12:31.499825128Z,78
2026-02-17T02:13:41.201554341Z,79
2026-02-17T02:14:50.857844967Z,80
2026-02-17T02:16:00.447885293Z,81
2026-02-17T02:17:09.925606463Z,82
2026-02-17T02:18:19.375548263Z,83
2026-02-17T02:19:28.67344541Z,84
2026-02-17T02:20:38.003365611Z,85
2026-02-17T02:21:47.024650132Z,86
2026-02-17T02:22:55.761311795Z,87
2026-02-17T02:24:03.833315103Z,88
2026-02-17T02:25:11.64389006Z,89
2026-02-17T02:26:19.864115096Z,90
2026-02-17T02:27:28.544113067Z,91
2026-02-17T02:28:40.52065021Z,92
2026-02-17T02:29:45.634296871Z,93
2026-02-17T02:30:53.538605521Z,94
2026-02-17T02:32:01.153468044Z,95
2026-02-17T02:33:09.099578818Z,96
2026-02-17T02:34:17.376729562Z,97
2026-02-17T02:35:25.61525173Z,98
2026-02-17T02:36:33.268766177Z,99
2026-02-17T02:37:40.436308885Z,100
2026-02-17T02:38:50.655915704Z,101
2026-02-17T02:39:50.775339683Z,102
2026-02-17T02:40:53.105302373Z,103
2026-02-17T02:41:56.154413905Z,104
2026-02-17T02:42:59.644002521Z,105
2026-02-17T02:44:02.536846912Z,106
2026-02-17T02:45:05.887393842Z,107
2026-02-17T02:46:09.625922382Z,108
2026-02-17T02:47:12.708957578Z,109
2026-02-17T02:48:16.077410158Z,110
2026-02-17T02:49:19.890131436Z,111
2026-02-17T02:50:22.783879066Z,112
2026-02-17T02:51:26.099005394Z,113
2026-02-17T02:52:29.845091048Z,114
2026-02-17T02:53:32.724501679Z,115
2026-02-17T02:54:36.034985549Z,116
2026-02-17T02:55:39.700598435Z,117
2026-02-17T02:56:42.470294705Z,118
2026-02-17T02:57:45.660096667Z,119
2026-02-17T02:58:49.345053745Z,120
2026-02-17T02:59:52.03182217Z,121
2026-02-17T03:00:55.176711375Z,122
2026-02-17T03:01:58.769683739Z,123
2026-02-17T03:03:01.874998007Z,124
2026-02-17T03:04:05.158468557Z,125
2026-02-17T03:05:08.821737042Z,126
2026-02-17T03:06:11.565577629Z,127
2026-02-17T03:07:14.595080411Z,128
2026-02-17T03:08:17.916195766Z,129
2026-02-17T03:09:20.657284021Z,130
2026-02-17T03:10:22.742696634Z,131
2026-02-17T03:11:25.537648734Z,132
2026-02-17T03:12:28.756244267Z,133
2026-02-17T03:13:31.214872795Z,134
2026-02-17T03:14:33.799144647Z,135
2026-02-17T03:15:36.822074088Z,136
2026-02-17T03:16:39.364764428Z,137
2026-02-17T03:17:41.401802411Z,138
2026-02-17T03:18:43.766439886Z,139
2026-02-17T03:19:46.638141135Z,140
2026-02-17T03:20:48.995193542Z,141
2026-02-17T03:21:50.931514182Z,142
2026-02-17T03:22:52.781308803Z,143
2026-02-17T03:23:55.307984136Z,144
2026-02-17T03:24:58.349855212Z,145
2026-02-17T03:26:00.508081645Z,146
2026-02-17T03:27:02.208758877Z,147
2026-02-17T03:28:04.594103452Z,148
2026-02-17T03:29:07.367414984Z,149
2026-02-17T03:30:09.602259967Z,150
2026-02-17T03:31:11.402046709Z,151
2026-02-17T03:32:13.65892077Z,152
2026-02-17T03:33:16.27784807Z,153
2026-02-17T03:34:18.48729029Z,154
2026-02-17T03:35:20.231482809Z,155
2026-02-17T03:36:21.617222547Z,156
2026-02-17T03:37:23.749172906Z,157
2026-02-17T03:38:26.309693527Z,158
2026-02-17T03:39:28.342160034Z,159
2026-02-17T03:40:29.8922024Z,160
2026-02-17T03:41:31.207994105Z,161
2026-02-17T03:42:33.246895101Z,162
2026-02-17T03:43:35.699427553Z,163
2026-02-17T03:44:37.877682797Z,164
2026-02-17T03:45:39.624516193Z,165
2026-02-17T03:46:41.003327867Z,166
2026-02-17T03:47:43.014832206Z,167
2026-02-17T03:48:45.494404126Z,168
2026-02-17T03:49:47.908857415Z,169
2026-02-17T03:50:49.712206951Z,170
2026-02-17T03:51:51.127640059Z,171
2026-02-17T03:52:53.15528109Z,172
2026-02-17T03:53:55.700932869Z,173
2026-02-17T03:54:57.722865654Z,174
2026-02-17T03:55:59.402483696Z,175
2026-02-17T03:57:04.784361217Z,176
